video,snr_db
Drink\Drink_10_1.avi,3.7565250567687576
Drink\Drink_10_10.avi,2.5748559124157078
Drink\Drink_10_11.avi,2.723830524952181
Drink\Drink_10_12.avi,2.729408770799637
Drink\Drink_10_13.avi,3.7597474306821823
Drink\Drink_10_14.avi,3.740180890629257
Drink\Drink_10_15.avi,3.7054508537054063
Drink\Drink_10_2.avi,2.7103222829180877
Drink\Drink_10_3.avi,2.588403288807188
Drink\Drink_10_4.avi,2.6243892681394887
Drink\Drink_10_5.avi,2.601274373607898
Drink\Drink_10_6.avi,2.6304505298386758
Drink\Drink_10_7.avi,2.7938506225573607
Drink\Drink_10_8.avi,3.6985606970367852
Drink\Drink_10_9.avi,3.702276913183076
Drink\Drink_11_1.avi,-1.7701561035628015
Drink\Drink_11_10.avi,-1.1976414301565714
Drink\Drink_11_2.avi,-1.9304127875301573
Drink\Drink_11_3.avi,-1.7105655817784995
Drink\Drink_11_4.avi,-1.4263847097754478
Drink\Drink_11_5.avi,-1.219834364950657
Drink\Drink_11_6.avi,-1.014891922035638
Drink\Drink_11_7.avi,-1.0025113440402176
Drink\Drink_11_8.avi,-1.1912004888347052
Drink\Drink_11_9.avi,-1.166423371246269
Drink\Drink_12_1.avi,3.509965498506287
Drink\Drink_12_2.avi,3.343034507571787
Drink\Drink_12_3.avi,3.288767262243889
Drink\Drink_12_4.avi,3.519720733165741
Drink\Drink_13_1.avi,8.420740932226181
Drink\Drink_13_10.avi,6.022804546356201
Drink\Drink_13_11.avi,6.8556487722830335
Drink\Drink_13_12.avi,6.274693119857046
Drink\Drink_13_13.avi,6.607451094314456
Drink\Drink_13_14.avi,6.762521389930967
Drink\Drink_13_15.avi,8.346534791127057
Drink\Drink_13_16.avi,8.54484548792243
Drink\Drink_13_17.avi,6.202248649937766
Drink\Drink_13_18.avi,6.410908653880611
Drink\Drink_13_19.avi,6.550545285145442
Drink\Drink_13_2.avi,7.135767173969139
Drink\Drink_13_20.avi,6.723273103199308
Drink\Drink_13_3.avi,7.225665380653826
Drink\Drink_13_4.avi,7.380933878065526
