video,snr_db,lux_estimate
Drink\Drink_10_1.avi,3.7565250567687576,16.717453002929688
Drink\Drink_10_10.avi,2.5748559124157078,14.230936050415039
Drink\Drink_10_11.avi,2.723830524952181,14.601670265197754
Drink\Drink_10_12.avi,2.729408770799637,13.808246612548828
Drink\Drink_10_13.avi,3.7597474306821823,16.706451416015625
Drink\Drink_10_14.avi,3.740180890629257,16.694326400756836
Drink\Drink_10_15.avi,3.7054508537054063,16.795818328857422
Drink\Drink_10_2.avi,2.7103222829180877,12.425520896911621
Drink\Drink_10_3.avi,2.588403288807188,13.155611038208008
Drink\Drink_10_4.avi,2.6243892681394887,14.477238655090332
Drink\Drink_10_5.avi,2.601274373607898,14.336142539978027
Drink\Drink_10_6.avi,2.6304505298386758,13.02584457397461
Drink\Drink_10_7.avi,2.7938506225573607,13.166069030761719
Drink\Drink_10_8.avi,3.6985606970367852,16.402856826782227
Drink\Drink_10_9.avi,3.702276913183076,16.709474563598633
Drink\Drink_11_1.avi,-1.7701561035628015,15.676695823669434
Drink\Drink_11_10.avi,-1.1976414301565714,16.64632225036621
Drink\Drink_11_2.avi,-1.9304127875301573,15.399121284484863
Drink\Drink_11_3.avi,-1.7105655817784995,15.976943969726562
Drink\Drink_11_4.avi,-1.4263847097754478,16.58665657043457
Drink\Drink_11_5.avi,-1.219834364950657,16.675233840942383
Drink\Drink_11_6.avi,-1.014891922035638,17.07499885559082
Drink\Drink_11_7.avi,-1.0025113440402176,17.042903900146484
Drink\Drink_11_8.avi,-1.1912004888347052,16.543846130371094
Drink\Drink_11_9.avi,-1.166423371246269,16.548419952392578
Drink\Drink_12_1.avi,3.509965498506287,53.6515007019043
Drink\Drink_12_2.avi,3.343034507571787,51.6693115234375
Drink\Drink_12_3.avi,3.288767262243889,52.02743148803711
Drink\Drink_12_4.avi,3.519720733165741,53.64803695678711
Drink\Drink_13_1.avi,8.420740932226181,10.387681007385254
Drink\Drink_13_10.avi,6.022804546356201,11.636470794677734
Drink\Drink_13_11.avi,6.8556487722830335,12.282205581665039
Drink\Drink_13_12.avi,6.274693119857046,10.273186683654785
Drink\Drink_13_13.avi,6.607451094314456,10.238986015319824
Drink\Drink_13_14.avi,6.762521389930967,10.703722953796387
Drink\Drink_13_15.avi,8.346534791127057,12.045388221740723
Drink\Drink_13_16.avi,8.54484548792243,10.136760711669922
Drink\Drink_13_17.avi,6.202248649937766,11.53319263458252
Drink\Drink_13_18.avi,6.410908653880611,11.29662799835205
Drink\Drink_13_19.avi,6.550545285145442,10.25158405303955
Drink\Drink_13_2.avi,7.135767173969139,9.883199691772461
Drink\Drink_13_20.avi,6.723273103199308,10.581132888793945
Drink\Drink_13_3.avi,7.225665380653826,10.26759147644043
Drink\Drink_13_4.avi,7.380933878065526,13.482460021972656
Drink\Drink_13_5.avi,7.530856053784208,13.354010581970215
Drink\Drink_13_6.avi,7.388905584812164,18.217063903808594
Drink\Drink_13_7.avi,9.058198311499186,11.25617504119873
Drink\Drink_13_8.avi,7.647313686332318,11.461282730102539
Drink\Drink_13_9.avi,5.862694769292264,11.186739921569824
Drink\Drink_14_1.avi,-5.728716513898113,18.717117309570312
Drink\Drink_14_2.avi,-6.131423069164157,19.32572364807129
Drink\Drink_14_3.avi,0.03587154299020767,12.495287895202637
Drink\Drink_14_4.avi,-4.3446843572033265,12.578714370727539
Drink\Drink_14_5.avi,-3.868312754414298,13.140817642211914
Drink\Drink_14_6.avi,-3.864268424018981,12.830964088439941
Drink\Drink_14_7.avi,-0.8315981742601062,10.151203155517578
Drink\Drink_15_1.avi,6.613654466345906,5.371899604797363
Drink\Drink_15_10.avi,5.133869459434432,9.504754066467285
Drink\Drink_15_11.avi,5.184267410572539,9.48412036895752
Drink\Drink_15_12.avi,5.166437556701047,9.460606575012207
Drink\Drink_15_13.avi,5.142229278132601,9.505406379699707
Drink\Drink_15_14.avi,5.4968884374414175,9.400346755981445
Drink\Drink_15_15.avi,5.619384294206446,9.274378776550293
Drink\Drink_15_16.avi,5.645321781905192,9.190187454223633
Drink\Drink_15_17.avi,5.6403551917327075,9.190919876098633
Drink\Drink_15_18.avi,5.3831603012832945,9.28192138671875
Drink\Drink_15_19.avi,5.317799283398522,9.365205764770508
Drink\Drink_15_2.avi,6.738930333937917,5.45428466796875
Drink\Drink_15_20.avi,5.305208897852635,9.44028377532959
Drink\Drink_15_3.avi,6.824880789737312,5.435082912445068
Drink\Drink_15_4.avi,6.988845118454525,5.3959455490112305
Drink\Drink_15_5.avi,5.067542177073809,9.351228713989258
Drink\Drink_15_6.avi,5.088546811317911,9.410772323608398
Drink\Drink_15_7.avi,5.101027044287899,9.393818855285645
Drink\Drink_15_8.avi,5.172165274620056,9.536495208740234
Drink\Drink_15_9.avi,5.180837358037631,9.478801727294922
Drink\Drink_16_1.avi,3.8055024612439823,23.992568969726562
Drink\Drink_16_10.avi,3.7642313452327953,24.65996551513672
Drink\Drink_16_11.avi,4.08064857909554,24.78141212463379
Drink\Drink_16_12.avi,4.166078516897166,25.002552032470703
Drink\Drink_16_13.avi,4.6490913177981525,29.295137405395508
Drink\Drink_16_14.avi,3.791566640138626,27.830942153930664
Drink\Drink_16_15.avi,3.6982899701053444,24.05329132080078
Drink\Drink_16_16.avi,3.799648817380269,26.595504760742188
Drink\Drink_16_17.avi,3.8224699588922353,27.09368133544922
Drink\Drink_16_18.avi,3.7338056157131008,26.894474029541016
Drink\Drink_16_19.avi,3.7238483256268724,26.421802520751953
Drink\Drink_16_2.avi,3.833499616239129,24.094526290893555
Drink\Drink_16_20.avi,3.8799648162196663,26.813173294067383
Drink\Drink_16_21.avi,3.714148143927256,23.23418617248535
Drink\Drink_16_22.avi,3.889325909111478,23.924537658691406
Drink\Drink_16_23.avi,3.9115221425890923,23.91863441467285
Drink\Drink_16_24.avi,3.931724172691966,24.04425811767578
Drink\Drink_16_25.avi,3.9124036729335785,23.969375610351562
Drink\Drink_16_26.avi,3.9026680046861824,24.295194625854492
Drink\Drink_16_3.avi,3.8858713527743736,23.881786346435547
Drink\Drink_16_4.avi,3.8921735661753107,23.879377365112305
Drink\Drink_16_5.avi,4.0006377125523755,26.742630004882812
Drink\Drink_16_6.avi,4.079303916257161,27.87598419189453
Drink\Drink_16_7.avi,4.049182517284697,28.126068115234375
Drink\Drink_16_8.avi,4.013090657118039,27.937602996826172
Drink\Drink_16_9.avi,3.8184180193477206,25.041336059570312
Drink\Drink_17_1.avi,0.0796521611945619,36.348060607910156
Drink\Drink_17_10.avi,3.621125136102949,33.24076461791992
Drink\Drink_17_11.avi,3.542882913821622,34.93613052368164
Drink\Drink_17_12.avi,2.382650949336864,38.960174560546875
Drink\Drink_17_13.avi,1.4663603608355378,43.49641418457031
Drink\Drink_17_14.avi,1.954447485324813,40.45579528808594
Drink\Drink_17_15.avi,3.5620045439520878,37.51001739501953
Drink\Drink_17_16.avi,4.117600987722844,41.89988708496094
Drink\Drink_17_17.avi,3.475181375806396,40.263519287109375
Drink\Drink_17_18.avi,3.5696330361745576,41.347904205322266
Drink\Drink_17_19.avi,5.032171352525776,46.43708801269531
Drink\Drink_17_2.avi,0.17142730508333978,36.834781646728516
Drink\Drink_17_20.avi,5.965302487214406,43.17273712158203
Drink\Drink_17_21.avi,6.913403940488057,51.088890075683594
Drink\Drink_17_22.avi,6.837246609039796,53.08150100708008
Drink\Drink_17_23.avi,6.813123813933796,52.79433059692383
Drink\Drink_17_24.avi,6.325691696759817,48.85727310180664
Drink\Drink_17_25.avi,5.522089031205248,46.547584533691406
Drink\Drink_17_26.avi,5.8085445659916575,48.98807144165039
Drink\Drink_17_27.avi,4.921662079382546,47.12781524658203
Drink\Drink_17_28.avi,6.761756787139379,50.6388053894043
Drink\Drink_17_29.avi,4.707926828891803,44.83562469482422
Drink\Drink_17_3.avi,0.1318891225216378,36.464866638183594
Drink\Drink_17_30.avi,4.727338786919912,40.720943450927734
Drink\Drink_17_31.avi,5.651343089562875,40.9888916015625
Drink\Drink_17_32.avi,0.3760762509396848,38.19096755981445
Drink\Drink_17_4.avi,0.7956353445415911,41.34090042114258
Drink\Drink_17_5.avi,0.7921144983265549,40.8643798828125
Drink\Drink_17_6.avi,0.7548027839511633,41.41718292236328
Drink\Drink_17_7.avi,2.2975696733390745,38.75849151611328
Drink\Drink_17_8.avi,4.309277697042986,45.59811782836914
Drink\Drink_17_9.avi,4.427454377475538,44.495445251464844
Drink\Drink_18_1.avi,-3.4210061578822315,9.504964828491211
Drink\Drink_18_10.avi,-3.583278260755201,9.463500022888184
Drink\Drink_18_11.avi,-3.5724565544814775,9.489287376403809
Drink\Drink_18_12.avi,-3.5391024679322785,9.67754077911377
Drink\Drink_18_13.avi,-3.682353530878796,9.666878700256348
Drink\Drink_18_14.avi,-3.776072601477305,9.958229064941406
Drink\Drink_18_15.avi,-3.755024233575684,10.334233283996582
Drink\Drink_18_16.avi,-3.7673761283880784,10.185135841369629
